crashid,cartodbid,on_street_name,cross_street_name,date_time,latitude,longitude,borough,zip_code,socrata_id,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrian_injured,number_of_pedestrian_killed,number_of_persons_injured,number_of_persons_killed,contributing_factors,vehicle_types
2035,2709852,HARLEM RIVER DRIVE,,2019-11-07 17:20:00+00,40.81697,-73.93415,Manhattan,,4237065,0,0,2,0,0,0,2,0,"Traffic Control Disregarded,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
2036,2709865,AMSTERDAM AVENUE,,2019-11-07 17:53:00+00,40.853714,-73.92681,Manhattan,,4237655,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
2037,2709857,CROPSEY AVENUE,,2019-11-07 18:30:00+00,40.607655,-74.01703,Brooklyn,11228,4242271,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Sedan
2038,2709858,BELT PARKWAY,,2019-11-07 09:40:00+00,40.64254,-73.87652,Brooklyn,,4237235,0,0,2,0,0,0,2,0,"Unspecified,Unspecified","Taxi,Sedan"
2039,2709874,STATEN ISLAND EXPRESSWAY,,2019-11-07 19:25:00+00,,,,,4237319,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan"
2040,2709879,WEST 42 STREET,,2019-11-07 05:50:00+00,40.75348,-73.980896,Manhattan,,4237052,0,0,0,0,1,0,1,0,Traffic Control Disregarded,Sedan
2041,2709882,AVENUE J,,2019-11-07 18:21:00+00,40.623722,-73.97463,Brooklyn,11230,4238832,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Station Wagon/Sport Utility Vehicle,Bus"
2042,2709893,HARWAY AVENUE,,2019-11-07 18:10:00+00,40.59055,-73.98891,Brooklyn,11214,4237256,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Driver Inattention/Distraction","Pick-up Truck,Sedan"
2043,2709885,EMPIRE BOULEVARD,,2019-11-07 19:51:00+00,40.66336,-73.95975,Brooklyn,,4237848,0,0,0,0,1,0,1,0,Unspecified,Sedan
2044,2709886,,1201      METROPOLITAN AVENUE,2019-11-07 08:50:00+00,40.714275,-73.928795,Brooklyn,11237,4237252,0,0,1,0,0,0,1,0,"Driver Inattention/Distraction,Unspecified","Station Wagon/Sport Utility Vehicle,Box Truck"
2045,2709899,STATEN ISLAND EXPRESSWAY,,2019-11-07 08:15:00+00,40.608253,-74.08879,Staten Island,,4237688,0,0,2,0,0,0,2,0,"Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified","Van,Sedan,Sedan,Sedan"
2046,2709902,BROAD STREET,,2019-11-07 23:46:00+00,40.623253,-74.08383,Staten Island,,4237236,0,0,0,1,0,0,0,1,"Illnes,Unspecified","Pick-up Truck,Station Wagon/Sport Utility Vehicle"
2047,2709906,,37-08     30 AVENUE,2019-11-07 13:00:00+00,40.764534,-73.91639,Queens,11103,4238329,0,0,0,0,1,0,1,0,Unspecified,
2048,2709907,EAST 161 STREET,,2019-11-07 14:13:00+00,40.82499,-73.91662,Bronx,,4237444,1,0,0,0,0,0,1,0,"Following Too Closely,Unspecified","Sedan,Bike"
2049,2709929,LITTLE NECK PARKWAY,,2019-11-07 17:00:00+00,,,,,4237308,0,0,1,0,0,0,1,0,"Unspecified,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle"
2050,2709918,WHITESTONE EXPRESSWAY,,2019-11-07 06:30:00+00,40.783268,-73.82485,Queens,,4236955,0,0,1,0,0,0,1,0,"Following Too Closely,Following Too Closely,Following Too Closely,Unspecified","Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Sedan"
2051,2709939,WEST 13 STREET,,2019-11-07 02:24:00+00,40.74026,-74.005875,Manhattan,,4237010,0,0,0,0,1,0,1,0,Driver Inattention/Distraction,Sedan
2052,2709923,31 STREET,,2019-11-07 18:00:00+00,40.77077,-73.91727,Queens,,4238344,0,0,0,0,1,0,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2053,2709935,25 AVENUE,,2019-11-07 00:00:00+00,40.764828,-73.86985,Queens,11369,4236901,0,0,1,0,0,0,1,0,"View Obstructed/Limited,View Obstructed/Limited","Sedan,Sedan"
2054,2709926,,1480      FULTON STREET,2019-11-07 12:44:00+00,40.67996,-73.9418,Brooklyn,11216,4237339,0,0,1,0,0,0,1,0,"Following Too Closely,Unspecified","Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle"
2055,2709953,QUEENSBORO BRIDGE UPPER,,2019-11-07 21:30:00+00,,,,,4242551,0,0,1,0,0,0,1,0,"Other Vehicular,Pavement Slippery,Unspecified","Station Wagon/Sport Utility Vehicle,Sedan,Sedan"
